matiere,langue enseignement,liste études (codes),liste des n°s sciper enseignants,liste des enseignants,liste orientations/sections sans doublons,liste URL fiche sans doublons,,,,
Foundations of imaging science,en,EDIC#IN-MA3# IN-MA1#MA-MA1# MA-MA3#SC-MA1# SC-MA3,112366#125681,Fua Pascal#Süsstrunk Sabine,EDIC#IN#MA_CO#SC_EPFL,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=348761303&ww_x_anneeacad=123455150&ww_i_section=2139068&ww_i_niveau=&ww_c_langue=en#http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=348761303&ww_x_anneeacad=123455150&ww_i_section=249847&ww_i_niveau=6683147&ww_c_langue=en#http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=348761303&ww_x_anneeacad=123455150&ww_i_section=944590&ww_i_niveau=6683147&ww_c_langue=en#http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=348761303&ww_x_anneeacad=123455150&ww_i_section=946228&ww_i_niveau=6683147&ww_c_langue=en,,,,
Foundations of software,en,IN-MA3# IN-MA1,126003,Odersky Martin,IN,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=71840397&ww_x_anneeacad=123455150&ww_i_section=249847&ww_i_niveau=6683147&ww_c_langue=en,,,,
Graph theory applications,en,IN-BA6#SC-BA6,161832,Fragouli Christina,IN#SC,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=71646415&ww_x_anneeacad=123455150&ww_i_section=249847&ww_i_niveau=6683117&ww_c_langue=en#http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=71646415&ww_x_anneeacad=123455150&ww_i_section=946228&ww_i_niveau=6683117&ww_c_langue=en,,,,
Human computer interaction,en,IN-MA2#SC-MA2# SC-MA4,106155,Pu Faltings Pearl,IN#SC_EPFL,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=1771158&ww_x_anneeacad=123455150&ww_i_section=249847&ww_i_niveau=6683147&ww_c_langue=en#http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=1771158&ww_x_anneeacad=123455150&ww_i_section=946228&ww_i_niveau=6683147&ww_c_langue=en,,,,
Human resources in project management,fr,IN-BA5#SC-BA5,169570,Monnin Catherine,IN#SC,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=1776087&ww_x_anneeacad=123455150&ww_i_section=249847&ww_i_niveau=6683117&ww_c_langue=en#http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=1776087&ww_x_anneeacad=123455150&ww_i_section=946228&ww_i_niveau=6683117&ww_c_langue=en,,,,
Industrial automation,en,EL-MA2#GM-MA2#IN-MA2#SC-MA2# SC-MA4,112744,Kirrmann Hubert,EL#GM#IN#SC_EPFL,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=1771173&ww_x_anneeacad=123455150&ww_i_section=943936&ww_i_niveau=6683147&ww_c_langue=en#http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=1771173&ww_x_anneeacad=123455150&ww_i_section=944263&ww_i_niveau=6683147&ww_c_langue=en#http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=1771173&ww_x_anneeacad=123455150&ww_i_section=249847&ww_i_niveau=6683147&ww_c_langue=en#http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=1771173&ww_x_anneeacad=123455150&ww_i_section=946228&ww_i_niveau=6683147&ww_c_langue=en,,,,
Information sciences,fr,IN-BA1#SC-BA1,105633,Le Boudec Jean-Yves,IN#SC,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=47847929&ww_x_anneeacad=123455150&ww_i_section=249847&ww_i_niveau=6683111&ww_c_langue=en#http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=47847929&ww_x_anneeacad=123455150&ww_i_section=946228&ww_i_niveau=6683111&ww_c_langue=en,,,,
Information technology project,fr,IN-BA2#SC-BA2,106085#111356#124369,Petitpierre Claude#Acevedo Manuel#Urbanke Rüdiger,IN#SC,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=47865578&ww_x_anneeacad=123455150&ww_i_section=249847&ww_i_niveau=6683111&ww_c_langue=en#http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=47865578&ww_x_anneeacad=123455150&ww_i_section=946228&ww_i_niveau=6683111&ww_c_langue=en,,,,
Information theory and coding,en,EDIC#EL-MA1# EL-MA3#IN-MA3# IN-MA1#MA-MA3# MA-MA1#MA-MA1# MA-MA3#SC-MA1# SC-MA3,131639,Telatar Emre,EDIC#EL#IN#ING_MATH#MATH#SC_EPFL,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=1774097&ww_x_anneeacad=123455150&ww_i_section=2139068&ww_i_niveau=&ww_c_langue=en#http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=1774097&ww_x_anneeacad=123455150&ww_i_section=943936&ww_i_niveau=6683147&ww_c_langue=en#http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=1774097&ww_x_anneeacad=123455150&ww_i_section=249847&ww_i_niveau=6683147&ww_c_langue=en#http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=1774097&ww_x_anneeacad=123455150&ww_i_section=944590&ww_i_niveau=6683147&ww_c_langue=en#http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=1774097&ww_x_anneeacad=123455150&ww_i_section=946228&ww_i_niveau=6683147&ww_c_langue=en,,,,
Intelligent Agents,en,IF-MA1# IF-MA3#IN-MA3# IN-MA1#SC-MA1# SC-MA3,105074,Faltings Boi,IF#IN#SC_EPFL,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=1771183&ww_x_anneeacad=123455150&ww_i_section=120623110&ww_i_niveau=6683147&ww_c_langue=en#http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=1771183&ww_x_anneeacad=123455150&ww_i_section=249847&ww_i_niveau=6683147&ww_c_langue=en#http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=1771183&ww_x_anneeacad=123455150&ww_i_section=946228&ww_i_niveau=6683147&ww_c_langue=en,,,,
Internship credited with Master Project (master in Computer Science),fr,IN-MA2#IN-MA3# IN-MA1,126096,Profs divers *,IN,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=652061370&ww_x_anneeacad=123455150&ww_i_section=249847&ww_i_niveau=6683147&ww_c_langue=en,,,,
Introduction to algorithm,fr,GM-BA2,106335,Salzmann Christophe,GM,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=784637613&ww_x_anneeacad=123455150&ww_i_section=944263&ww_i_niveau=6683111&ww_c_langue=en,,,,
Introduction to computer graphics,en,EL-MA1# EL-MA3#IN-BA5#SC-BA5,196500,Pauly Mark,EL#IN#SC,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=348718726&ww_x_anneeacad=123455150&ww_i_section=943936&ww_i_niveau=6683147&ww_c_langue=en#http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=348718726&ww_x_anneeacad=123455150&ww_i_section=249847&ww_i_niveau=6683117&ww_c_langue=en#http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=348718726&ww_x_anneeacad=123455150&ww_i_section=946228&ww_i_niveau=6683117&ww_c_langue=en,,,,
Introduction to computing systems,fr,IN-BA1#SC-BA1,106339,Sanchez Eduardo,IN#SC,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=1774377&ww_x_anneeacad=123455150&ww_i_section=249847&ww_i_niveau=6683111&ww_c_langue=en#http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=1774377&ww_x_anneeacad=123455150&ww_i_section=946228&ww_i_niveau=6683111&ww_c_langue=en,,,,
Introduction to database systems,en,EME-MA2#IN-BA6#SC-BA6#SIE-MA2,177957,Ailamaki Anastasia,EME_MES#IN#SC#SIE,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=838992628&ww_x_anneeacad=123455150&ww_i_section=637841336&ww_i_niveau=6683147&ww_c_langue=en#http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=838992628&ww_x_anneeacad=123455150&ww_i_section=249847&ww_i_niveau=6683117&ww_c_langue=en#http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=838992628&ww_x_anneeacad=123455150&ww_i_section=946228&ww_i_niveau=6683117&ww_c_langue=en#http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=838992628&ww_x_anneeacad=123455150&ww_i_section=942953&ww_i_niveau=6683147&ww_c_langue=en,,,,
Introduction to multiprocessor architecture,en,IN-BA6#MA-MA2#SC-BA6,177958,Falsafi Babak,IN#MA_CO#SC,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=231899109&ww_x_anneeacad=123455150&ww_i_section=249847&ww_i_niveau=6683117&ww_c_langue=en#http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=231899109&ww_x_anneeacad=123455150&ww_i_section=944590&ww_i_niveau=6683147&ww_c_langue=en#http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=231899109&ww_x_anneeacad=123455150&ww_i_section=946228&ww_i_niveau=6683117&ww_c_langue=en,,,,
Introduction to objects oriented programming,fr,IN-BA1#SC-BA1,105074#106336,Faltings Boi#Sam Jamila,IN#SC,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=47865556&ww_x_anneeacad=123455150&ww_i_section=249847&ww_i_niveau=6683111&ww_c_langue=en#http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=47865556&ww_x_anneeacad=123455150&ww_i_section=946228&ww_i_niveau=6683111&ww_c_langue=en,,,,
Introduction to programming,fr,EL-BA1#GM-BA1,111472,Lecoultre Marc,EL#GM,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=784637359&ww_x_anneeacad=123455150&ww_i_section=943936&ww_i_niveau=6683111&ww_c_langue=en#http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=784637359&ww_x_anneeacad=123455150&ww_i_section=944263&ww_i_niveau=6683111&ww_c_langue=en,,,,
IT security engineering,en,IN-MA3# IN-MA1#MINEUR-H#SC-MA1# SC-MA3,193870,Janson Philippe,IN#MIN_IN_SEC#SC_EPFL,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=348806060&ww_x_anneeacad=123455150&ww_i_section=249847&ww_i_niveau=6683147&ww_c_langue=en#http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=348806060&ww_x_anneeacad=123455150&ww_i_section=84482813&ww_i_niveau=2936286&ww_c_langue=en#http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=348806060&ww_x_anneeacad=123455150&ww_i_section=946228&ww_i_niveau=6683147&ww_c_langue=en,,,,
IT security engineering TP,en,IN-MA3# IN-MA1#MINEUR-H#SC-MA1# SC-MA3,193870,Janson Philippe,IN#MIN_IN_SEC#SC_EPFL,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=838996229&ww_x_anneeacad=123455150&ww_i_section=249847&ww_i_niveau=6683147&ww_c_langue=en#http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=838996229&ww_x_anneeacad=123455150&ww_i_section=84482813&ww_i_niveau=2936286&ww_c_langue=en#http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=838996229&ww_x_anneeacad=123455150&ww_i_section=946228&ww_i_niveau=6683147&ww_c_langue=en,,,,
Logic systems,fr,EL-BA2#MT-BA3,158881,Kluter Ties Jan Henderikus,EL#MT,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=1776592&ww_x_anneeacad=123455150&ww_i_section=943936&ww_i_niveau=6683111&ww_c_langue=en#http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=1776592&ww_x_anneeacad=123455150&ww_i_section=945244&ww_i_niveau=6683117&ww_c_langue=en,,,,
Logic systems I,fr,IN-BA1#SC-BA1,106339,Sanchez Eduardo,IN#SC,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=80956661&ww_x_anneeacad=123455150&ww_i_section=249847&ww_i_niveau=6683111&ww_c_langue=en#http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=80956661&ww_x_anneeacad=123455150&ww_i_section=946228&ww_i_niveau=6683111&ww_c_langue=en,,,,
Logic systems II,fr,IN-BA2#SC-BA2,106339,Sanchez Eduardo,IN#SC,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=80956652&ww_x_anneeacad=123455150&ww_i_section=249847&ww_i_niveau=6683111&ww_c_langue=en#http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=80956652&ww_x_anneeacad=123455150&ww_i_section=946228&ww_i_niveau=6683111&ww_c_langue=en,,,,
Master project in Communication Systems,fr,SC-PME#SC-PMH,126096,Profs divers *,SC_EPFL,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=132425231&ww_x_anneeacad=123455150&ww_i_section=946228&ww_i_niveau=24927041&ww_c_langue=en,,,,
Master project in Computer Science,fr,IN-PME#IN-PMH,126096,Profs divers *,IN,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=132427120&ww_x_anneeacad=123455150&ww_i_section=249847&ww_i_niveau=24927041&ww_c_langue=en,,,,
Mathematical signal processing: tools and applications,en,IN-MA3# IN-MA1#SC-MA1# SC-MA3,107537#122085#145758,Vetterli Martin#Chebira Amina#Ridolfi Andrea,IN#SC_EPFL,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=838998170&ww_x_anneeacad=123455150&ww_i_section=249847&ww_i_niveau=6683147&ww_c_langue=en#http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=838998170&ww_x_anneeacad=123455150&ww_i_section=946228&ww_i_niveau=6683147&ww_c_langue=en,,,,
Microcontrollers for mecanical systems,fr,GM-BA6,106249,Rochat Pierre-Yves,GM,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=137356530&ww_x_anneeacad=123455150&ww_i_section=944263&ww_i_niveau=6683117&ww_c_langue=en,,,,
Microelectronics for systems on chips,en,EL-MA1# EL-MA3#IN-MA3# IN-MA1#SC-MA1# SC-MA3,100366#107141,Beuchat René#Piguet Christian,EL#IN#SC_EPFL,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=71644441&ww_x_anneeacad=123455150&ww_i_section=943936&ww_i_niveau=6683147&ww_c_langue=en#http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=71644441&ww_x_anneeacad=123455150&ww_i_section=249847&ww_i_niveau=6683147&ww_c_langue=en#http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=71644441&ww_x_anneeacad=123455150&ww_i_section=946228&ww_i_niveau=6683147&ww_c_langue=en,,,,
Middleware,en,IN-MA2#SC-MA2# SC-MA4,105198,Garbinato Benoît,IN#SC_EPFL,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=2262209&ww_x_anneeacad=123455150&ww_i_section=249847&ww_i_niveau=6683147&ww_c_langue=en#http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=2262209&ww_x_anneeacad=123455150&ww_i_section=946228&ww_i_niveau=6683147&ww_c_langue=en,,,,
Mobile networks,en,IN-MA2#MINEUR-E#SC-MA2# SC-MA4,105427,Hubaux Jean-Pierre,IN#MIN_IN_SEC#SC_EPFL,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=1771338&ww_x_anneeacad=123455150&ww_i_section=249847&ww_i_niveau=6683147&ww_c_langue=en#http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=1771338&ww_x_anneeacad=123455150&ww_i_section=84482813&ww_i_niveau=2936295&ww_c_langue=en#http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=1771338&ww_x_anneeacad=123455150&ww_i_section=946228&ww_i_niveau=6683147&ww_c_langue=en,,,,
Models and methods for random networks,en,IN-MA2#SC-MA2# SC-MA4,103925#152655,Thiran Patrick#Grossglauser Matthias,IN#SC_EPFL,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=71832385&ww_x_anneeacad=123455150&ww_i_section=249847&ww_i_niveau=6683147&ww_c_langue=en#http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=71832385&ww_x_anneeacad=123455150&ww_i_section=946228&ww_i_niveau=6683147&ww_c_langue=en,,,,
Network security,fr,IN-BA5#MINEUR-H#SC-BA5,107463,Oechslin Philippe,IN#MIN_IN_SEC#SC,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=4151162&ww_x_anneeacad=123455150&ww_i_section=249847&ww_i_niveau=6683117&ww_c_langue=en#http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=4151162&ww_x_anneeacad=123455150&ww_i_section=84482813&ww_i_niveau=2936286&ww_c_langue=en#http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=4151162&ww_x_anneeacad=123455150&ww_i_section=946228&ww_i_niveau=6683117&ww_c_langue=en,,,,
Neural networks and biological modeling,en,EDNE#EL-MA2#IN-MA2#MA-MA2#MINEUR-E#PH-MA2#SC-MA2# SC-MA4#SV-MA2,111732,Gerstner Wulfram,EDNE#EL#IN#ING_MATH#MATH#MA_CO#MIN_BIOCOMP#MIN_BIOMED#ING_PHYS#PHYS#SC_EPFL#SV_B#SV_STV,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=1776052&ww_x_anneeacad=123455150&ww_i_section=2140391&ww_i_niveau=&ww_c_langue=en#http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=1776052&ww_x_anneeacad=123455150&ww_i_section=943936&ww_i_niveau=6683147&ww_c_langue=en#http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=1776052&ww_x_anneeacad=123455150&ww_i_section=249847&ww_i_niveau=6683147&ww_c_langue=en#http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=1776052&ww_x_anneeacad=123455150&ww_i_section=944590&ww_i_niveau=6683147&ww_c_langue=en#http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=1776052&ww_x_anneeacad=123455150&ww_i_section=84482813&ww_i_niveau=2936295&ww_c_langue=en#http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=1776052&ww_x_anneeacad=123455150&ww_i_section=945571&ww_i_niveau=6683147&ww_c_langue=en#http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=1776052&ww_x_anneeacad=123455150&ww_i_section=946228&ww_i_niveau=6683147&ww_c_langue=en#http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=1776052&ww_x_anneeacad=123455150&ww_i_section=945901&ww_i_niveau=6683147&ww_c_langue=en,,,,
Operating systems ,en,IN-BA6#SC-BA6,171553,Kostic Dejan,IN#SC,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=71646554&ww_x_anneeacad=123455150&ww_i_section=249847&ww_i_niveau=6683117&ww_c_langue=en#http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=71646554&ww_x_anneeacad=123455150&ww_i_section=946228&ww_i_niveau=6683117&ww_c_langue=en,,,,
Optional project in communication systems,en,SC-MA2# SC-MA4#SC-MA1# SC-MA3,126096,Profs divers *,SC_EPFL,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=231957235&ww_x_anneeacad=123455150&ww_i_section=946228&ww_i_niveau=6683147&ww_c_langue=en,,,,
Optional project in computer science,en,IN-MA2#IN-MA3# IN-MA1,126096,Profs divers *,IN,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=231957545&ww_x_anneeacad=123455150&ww_i_section=249847&ww_i_niveau=6683147&ww_c_langue=en,,,,
Pattern classification and machine learning,en,IN-MA2#MINEUR-E#SC-MA2# SC-MA4#SV-MA2,208475,Seeger Matthias,IN#MIN_BIOCOMP#SC_EPFL#SV_B#SV_STV,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=1771468&ww_x_anneeacad=123455150&ww_i_section=249847&ww_i_niveau=6683147&ww_c_langue=en#http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=1771468&ww_x_anneeacad=123455150&ww_i_section=84482813&ww_i_niveau=2936295&ww_c_langue=en#http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=1771468&ww_x_anneeacad=123455150&ww_i_section=946228&ww_i_niveau=6683147&ww_c_langue=en#http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=1771468&ww_x_anneeacad=123455150&ww_i_section=945901&ww_i_niveau=6683147&ww_c_langue=en,,,,
Performance evaluation,en,IN-MA2#SC-MA2# SC-MA4,105633,Le Boudec Jean-Yves,IN#SC_EPFL,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=1771473&ww_x_anneeacad=123455150&ww_i_section=249847&ww_i_niveau=6683147&ww_c_langue=en#http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=1771473&ww_x_anneeacad=123455150&ww_i_section=946228&ww_i_niveau=6683147&ww_c_langue=en,,,,
Personal interaction studio,en,IN-MA2#SC-MA2# SC-MA4,166540,Huang Jeffrey,IN#SC_EPFL,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=71840994&ww_x_anneeacad=123455150&ww_i_section=249847&ww_i_niveau=6683147&ww_c_langue=en#http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=71840994&ww_x_anneeacad=123455150&ww_i_section=946228&ww_i_niveau=6683147&ww_c_langue=en,,,,
Principles of digital communications,en,IN-BA6#SC-BA6,124369,Urbanke Rüdiger,IN#SC,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=1775627&ww_x_anneeacad=123455150&ww_i_section=249847&ww_i_niveau=6683117&ww_c_langue=en#http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=1775627&ww_x_anneeacad=123455150&ww_i_section=946228&ww_i_niveau=6683117&ww_c_langue=en,,,,
Professional communication,fr,IN-BA5#SC-BA5,105209,Gaxer Walter,IN#SC,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=47934533&ww_x_anneeacad=123455150&ww_i_section=249847&ww_i_niveau=6683117&ww_c_langue=en#http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=47934533&ww_x_anneeacad=123455150&ww_i_section=946228&ww_i_niveau=6683117&ww_c_langue=en,,,,
Programming I,fr,MX-BA1,104937,Desbiolles Jean-Luc,MX,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=1775697&ww_x_anneeacad=123455150&ww_i_section=944917&ww_i_niveau=6683111&ww_c_langue=en,,,,
Programming II,fr,MX-BA2,104937,Desbiolles Jean-Luc,MX,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=1775702&ww_x_anneeacad=123455150&ww_i_section=944917&ww_i_niveau=6683111&ww_c_langue=en,,,,
Programming theory and practice,fr,IN-BA2#SC-BA2,105390#112354,Hersch Roger#Rajman Martin,IN#SC,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=47865593&ww_x_anneeacad=123455150&ww_i_section=249847&ww_i_niveau=6683111&ww_c_langue=en#http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=47865593&ww_x_anneeacad=123455150&ww_i_section=946228&ww_i_niveau=6683111&ww_c_langue=en,,,,
Program parallelization on PC clusters,en,IN-MA3# IN-MA1#MA-MA1# MA-MA3,105390,Hersch Roger,IN#MA_CO,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=231957812&ww_x_anneeacad=123455150&ww_i_section=249847&ww_i_niveau=6683147&ww_c_langue=en#http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=231957812&ww_x_anneeacad=123455150&ww_i_section=944590&ww_i_niveau=6683147&ww_c_langue=en,,,,
Project in communication systems I,fr,SC-BA6#SC-BA5,126096,Profs divers *,SC,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=72259583&ww_x_anneeacad=123455150&ww_i_section=946228&ww_i_niveau=6683117&ww_c_langue=en,,,,
Project in communication systems II,fr,SC-MA2# SC-MA4#SC-MA1# SC-MA3,126096,Profs divers *,SC_EPFL,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=82805306&ww_x_anneeacad=123455150&ww_i_section=946228&ww_i_niveau=6683147&ww_c_langue=en,,,,
Project in computer science I,fr,IN-BA6#IN-BA5,126096,Profs divers *,IN,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=128676455&ww_x_anneeacad=123455150&ww_i_section=249847&ww_i_niveau=6683117&ww_c_langue=en,,,,
Project in computer science II,fr,IN-MA2#IN-MA3# IN-MA1,126096,Profs divers *,IN,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=128676975&ww_x_anneeacad=123455150&ww_i_section=249847&ww_i_niveau=6683147&ww_c_langue=en,,,,
Project in Informatics,fr,SV-BA3,106336,Sam Jamila,SV,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=352067537&ww_x_anneeacad=123455150&ww_i_section=945901&ww_i_niveau=6683117&ww_c_langue=en,,,,
Real-time embedded systems,en,EL-MA2#IN-MA2#SC-MA2# SC-MA4,100366,Beuchat René,EL#IN#SC_EPFL,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=1771613&ww_x_anneeacad=123455150&ww_i_section=943936&ww_i_niveau=6683147&ww_c_langue=en#http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=1771613&ww_x_anneeacad=123455150&ww_i_section=249847&ww_i_niveau=6683147&ww_c_langue=en#http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=1771613&ww_x_anneeacad=123455150&ww_i_section=946228&ww_i_niveau=6683147&ww_c_langue=en,,,,
